Source,Target,Type,Relation
Punit Malhotra,Suneel_Darshan,Directed,PARENT
Punit Malhotra,Dharmesh_Darshan,Directed,PARENT
Punit Malhotra,David_Dhawan,Directed,PARENT
Punit Malhotra,Varun_Dhawan,Directed,COUSIN
Punit Malhotra,Manish_Malhotra,Directed,UNCLE
Shashi_Kapoor,Jennifer_Kendal,Directed,SPOUSE
Shashi_Kapoor,"Kunal_Kapoor_(actor,_born_1959)",Directed,CHILD
Shashi_Kapoor,Karan_Kapoor,Directed,CHILD
Shashi_Kapoor,Sanjana_Kapoor,Directed,CHILD
Shashi_Kapoor,Prithviraj_Kapoor,Directed,PARENT
Shashi_Kapoor,Kapoor_family,Directed,RELATIVE
Rajiv Kapoor,terminal_Rajiv Kapoor_Aarti_Jha_m_2001_div_2003,Directed,SPOUSE
Rajiv Kapoor,Raj_Kapoor,Directed,PARENT
Rajiv Kapoor,Kapoor_family,Directed,RELATIVE
Karisma Kapoor,Sunjay_Kapur,Directed,SPOUSE
Karisma Kapoor,Randhir_Kapoor,Directed,PARENT
Karisma Kapoor,Babita_Kapoor,Directed,PARENT
Karisma Kapoor,Kapoor_family,Directed,RELATIVE
Piyush Jha,terminal_Piyush Jha_Priyanka_Sinha_Jha,Directed,SPOUSE
Kareena Kapoor Khan,Saif_Ali_Khan,Directed,SPOUSE
Kareena Kapoor Khan,Kapoor_family,Directed,RELATIVE
Kareena Kapoor Khan,Pataudi_family,Directed,RELATIVE
Dharmesh_Darshan,Bhatt_family,Directed,RELATIVE
R. Balki,Gauri_Shinde,Directed,SPOUSE
Hemant Madhukar,terminal_Hemant Madhukar_Tripta_Madhukar,Directed,SPOUSE
Soni_Razdan,Mahesh_Bhatt,Directed,SPOUSE
Soni_Razdan,Alia_Bhatt,Directed,CHILD
Soni_Razdan,Bhatt_family,Directed,RELATIVE
Jennifer_Kendal,"Kunal_Kapoor_(actor,_born_1959)",Directed,CHILD
Jennifer_Kendal,Karan_Kapoor,Directed,CHILD
Jennifer_Kendal,Sanjana_Kapoor,Directed,CHILD
Jennifer_Kendal,Felicity_Kendal,Directed,SIBLING
Jennifer_Kendal,Kapoor_family,Directed,SIBLING
Joe Rajan,terminal_Joe Rajan_Rochelle_D_Souza,Directed,SPOUSE
Raj_Kapoor,terminal_Raj Kapoor_Krishna_Malhotra_m_1946,Directed,SPOUSE
Raj_Kapoor,Randhir_Kapoor,Directed,CHILD
Raj_Kapoor,Rishi_Kapoor,Directed,CHILD
Raj_Kapoor,Rajiv_Kapoor,Directed,CHILD
Raj_Kapoor,Prithviraj_Kapoor,Directed,PARENT
Raj_Kapoor,terminal_Raj Kapoor_Ramsarni_Mehra_Kapoor_mother,Directed,PARENT
Raj_Kapoor,Kapoor_family,Directed,RELATIVE
Subhash Ghai,terminal_Subhash Ghai_Mukta_Ghai_m_1970,Directed,SPOUSE
Nanabhai_Bhatt,terminal_Nanabhai Bhatt_Hemlata_Bhatt,Directed,SPOUSE
Nanabhai_Bhatt,Mahesh_Bhatt,Directed,CHILD
