ID,Label,IsTerminal,URL
K. Vijaya Bhaskar,K. Vijaya Bhaskar,False,
Ashwni Dhir,Ashwni Dhir,False,
Punit Malhotra,Punit Malhotra,False,
Suneel_Darshan,Suneel Darshan,False,
Dharmesh_Darshan,Dharmesh Darshan,False,
David_Dhawan,David Dhawan,False,
Varun_Dhawan,Varun Dhawan,False,
Manish_Malhotra,Manish Malhotra,False,
Shashi Kapoor,Shashi Kapoor,False,
Jennifer_Kendal,Jennifer Kendal,False,
"Kunal_Kapoor_(actor,_born_1959)",Kunal,False,
Karan_Kapoor,Karan,False,
Sanjana_Kapoor,Sanjana,False,
Prithviraj_Kapoor,Prithviraj Kapoor,False,
Kapoor_family,Kapoor family,False,
Mukherjee-Samarth family,Mukherjee-Samarth family,False,
Rajiv Kapoor,Rajiv Kapoor,False,
terminal_Rajiv Kapoor_Aarti_Jha_m_2001_div_2003,Aarti Jha​​(m.2001;div.2003)​,True,
Raj_Kapoor,Raj Kapoor,False,
Karisma Kapoor,Karisma Kapoor,False,
Sunjay_Kapur,Sunjay Kapur,False,
Randhir_Kapoor,Randhir Kapoor,False,
Babita_Kapoor,Babita Kapoor,False,
Manilal Joshi,Manilal Joshi,False,
Piyush Jha,Piyush Jha,False,
terminal_Piyush Jha_Priyanka_Sinha_Jha,Priyanka Sinha Jha,True,
Kareena Kapoor Khan,Kareena Kapoor Khan,False,
Saif_Ali_Khan,Saif Ali Khan,False,
Pataudi_family,Pataudi family,False,
Prem Raj,Prem Raj,False,
Dharmesh Darshan,Dharmesh Darshan,False,
Bhatt_family,Bhatt family,False,
R. Balki,R. Balki,False,
Gauri_Shinde,Gauri Shinde,False,
Hemant Madhukar,Hemant Madhukar,False,
terminal_Hemant Madhukar_Tripta_Madhukar,Tripta Madhukar,True,
Soni Razdan,Soni Razdan,False,
Mahesh_Bhatt,Mahesh Bhatt,False,
Alia_Bhatt,Alia Bhatt,False,
Jennifer Kendal,Jennifer Kendal,False,
Shashi_Kapoor,Shashi Kapoor,False,
Felicity_Kendal,Felicity Kendal,False,
Vishal Mahadkar,Vishal Mahadkar,False,
Fabulous Lives of Bollywood Wives,Fabulous Lives of Bollywood Wive,False,
Joe Rajan,Joe Rajan,False,
terminal_Joe Rajan_Rochelle_D_Souza,Rochelle D'Souza,True,
Raj Kapoor,Raj Kapoor,False,
terminal_Raj Kapoor_Krishna_Malhotra_m_1946,Krishna Malhotra​(m.1946)​,True,
Rishi_Kapoor,Rishi,False,
Rajiv_Kapoor,Rajiv,False,
terminal_Raj Kapoor_Ramsarni_Mehra_Kapoor_mother,Ramsarni Mehra Kapoor (mother),True,
Sridevi: The Eternal Screen Goddess,Sridevi: The Eternal Screen Goddes,False,
Subhash Ghai,Subhash Ghai,False,
terminal_Subhash Ghai_Mukta_Ghai_m_1970,Mukta Ghai​(m.1970)​,True,
Nanabhai Bhatt,Nanabhai Bhatt,False,
terminal_Nanabhai Bhatt_Hemlata_Bhatt,Hemlata Bhatt,True,
Mukesh_Bhatt,Mukesh Bhatt,False,
Robin_Bhatt,Robin Bhatt,False,
B. Gopal,B. Gopal,False,
Phani Majumdar,Phani Majumdar,False,
Priya Krishnaswamy,Priya Krishnaswamy,False,
Akashaditya Lama,Akashaditya Lama,False,
Rajesh A Krishnan,Rajesh A Krishnan,False,
Shyam Benegal,Shyam Benegal,False,
terminal_Shyam Benegal_Nira_Benegal,Nira Benegal,True,
Guru_Dutt,Guru Dutt,False,
Prem Prakash Modi,Prem Prakash Modi,False,
Aditya Bhattacharya,Aditya Bhattacharya,False,
Basu_Bhattacharya,Basu Bhattacharya,False,
Rinki_Bhattacharya,Rinki Bhattacharya,False,
Chetan Anand (director),Chetan Anand (director),False,
Uma_Anand,Uma Anand,False,
Ketan_Anand,Ketan Anand,False,
List_of_Hindi_film_clans#Anand-Sahni_family,Anand-Sahni family,False,
Anand_family,Anand family,False,
Shagufta Rafique,Shagufta Rafique,False,
Sayeeda_Khan,Sayeeda Khan,False,
Shivam Nair,Shivam Nair,False,
Himanshu Rai,Himanshu Rai,False,
Devika_Rani,Devika Rani,False,
terminal_Himanshu Rai_Nilima_Dietze_Hainlin_1926_1997,Nilima Dietze (Hainlin) (1926–1997),True,
Girish Karnad,Girish Karnad,False,
terminal_Girish Karnad_Saraswathy_Ganapathy,Saraswathy Ganapathy,True,
Raghu_Karnad,Raghu Karnad,False,
Aishwarya Rai Bachchan,Aishwarya Rai Bachchan,False,
Abhishek_Bachchan,Abhishek Bachchan,False,
Bachchan_family,Bachchan family,False,
Shashanka Ghosh,Shashanka Ghosh,False,
Kantilal Rathod,Kantilal Rathod,False,
Tinu Suresh Desai,Tinu Suresh Desai,False,
Kamal Amrohi,Kamal Amrohi,False,
Meena_Kumari,Meena Kumari,False,
Nikkhil Advani,Nikkhil Advani,False,
terminal_Nikkhil Advani_Suparna_Gupta,Suparna Gupta,True,
Asrani,Asrani,False,
Manju_Asrani,Manju Asrani,False,
Rajat Kapoor,Rajat Kapoor,False,
terminal_Rajat Kapoor_Meenal_Agarwal_m_1996,Meenal Agarwal​(m.1996)​,True,
Valmik Thapar,Valmik Thapar,False,
terminal_Valmik Thapar_Hamir_Thapar,Hamir Thapar,True,
Romesh_Thapar,Romesh Thapar,False,
Romila_Thapar,Romila Thapar,False,
Daya_Ram_Thapar,Daya Ram Thapar,False,
Pran_Nath_Thapar,Pran Nath Thapar,False,
Shammi Kapoor,Shammi Kapoor,False,
Geeta_Bali,Geeta Bali,False,
Aditya_Raj_Kapoor,Aditya,False,
terminal_Shammi Kapoor_Ramsarni_Mehra_Kapoor_mother,Ramsarni Mehra Kapoor (mother),True,
Subbiraj,Subbiraj,False,
Kumari_Naaz,Kumari Naaz,False,
Uday Shankar Pani,Uday Shankar Pani,False,
Ketan Anand,Ketan Anand,False,
Chetan_Anand_(director),Chetan Anand,False,
Anant Balani,Anant Balani,False,
Sachin Kundalkar,Sachin Kundalkar,False,
Sanjana Kapoor,Sanjana Kapoor,False,
Aditya_Bhattacharya,Aditya Bhattacharya,False,
Valmik_Thapar,Valmik Thapar,False,
Sriram Dalton,Sriram Dalton,False,
Prerna Arora,Prerna Arora,False,
"Mazhar Khan (actor, born 1955)","Mazhar Khan (actor, born 1955)",False,
"terminal_Mazhar Khan (actor, born 1955)_Rubaina_Separated",Rubaina (Separated),True,
Zeenat_Aman,Zeenat Aman,False,
Mukesh Chhabra,Mukesh Chhabra,False,
Karan Kapoor,Karan Kapoor,False,
terminal_Karan Kapoor_Lorna_Kapoor,Lorna Kapoor,True,
Indrajit Nattoji,Indrajit Nattoji,False,
terminal_Indrajit Nattoji_Nandita_Nattoji,Nandita Nattoji,True,
Franz Osten,Franz Osten,False,
Amjad Khan (actor),Amjad Khan (actor),False,
terminal_Amjad Khan (actor)_Shehla_Khan,Shehla Khan,True,
Shadaab_Khan,Shadaab Khan,False,
Jayant_(actor),Jayant,False,
Imtiaz_Khan,Imtiaz Khan,False,
Akhtar_ul_Iman,Akhtar ul Iman,False,
Zafar_Karachiwala,Zafar Karachiwala,False,
Krish Jagarlamudi,Krish Jagarlamudi,False,
Yogesh Mittal,Yogesh Mittal,False,
terminal_Yogesh Mittal_Shilpa_Mittal_2013_present,Shilpa Mittal (2013 – present),True,
Surinder Kapoor,Surinder Kapoor,False,
terminal_Surinder Kapoor_Nirmal_Kapoor_m_1955,Nirmal Kapoor​(m.1955)​,True,
Boney_Kapoor,Boney Kapoor,False,
Anil_Kapoor,Anil Kapoor,False,
